Iterations 	 Error 
319	3.77407e-09
320	3.76394e-09
321	3.75383e-09
322	3.74373e-09
323	3.73365e-09
324	3.72357e-09
325	3.71351e-09
326	3.70345e-09
327	3.69341e-09
328	3.68338e-09
329	3.67337e-09
330	3.66336e-09
331	3.65337e-09
332	3.64338e-09
333	3.63341e-09
334	3.62345e-09
335	3.61351e-09
336	3.60357e-09
337	3.59365e-09
338	3.58374e-09
339	3.57384e-09
340	3.56395e-09
341	3.55407e-09
342	3.54421e-09
343	3.53436e-09
344	3.52452e-09
345	3.5147e-09
346	3.50488e-09
347	3.49508e-09
348	3.4853e-09
349	3.47552e-09
350	3.46576e-09
351	3.45601e-09
352	3.44627e-09
353	3.43655e-09
354	3.42684e-09
355	3.41714e-09
356	3.40745e-09
357	3.39778e-09
358	3.38813e-09
359	3.37848e-09
360	3.36885e-09
361	3.35924e-09
362	3.34963e-09
363	3.34004e-09
364	3.33047e-09
365	3.32091e-09
366	3.31136e-09
367	3.30183e-09
368	3.29231e-09
369	3.28281e-09
370	3.27332e-09
371	3.26385e-09
372	3.25439e-09
373	3.24494e-09
374	3.23551e-09
375	3.2261e-09
376	3.2167e-09
377	3.20732e-09
378	3.19795e-09
379	3.1886e-09
380	3.17927e-09
381	3.16995e-09
382	3.16064e-09
383	3.15136e-09
384	3.14208e-09
385	3.13283e-09
386	3.12359e-09
387	3.11437e-09
388	3.10517e-09
389	3.09598e-09
390	3.08681e-09
391	3.07766e-09
392	3.06852e-09
393	3.0594e-09
394	3.0503e-09
395	3.04122e-09
396	3.03216e-09
397	3.02311e-09
398	3.01408e-09
399	3.00507e-09
400	2.99608e-09
401	2.98711e-09
402	2.97816e-09
403	2.96922e-09
404	2.96031e-09
405	2.95141e-09
406	2.94253e-09
407	2.93367e-09
408	2.92484e-09
409	2.91602e-09
410	2.90722e-09
411	2.89844e-09
412	2.88968e-09
413	2.88095e-09
414	2.87223e-09
415	2.86353e-09
416	2.85486e-09
417	2.8462e-09
418	2.83757e-09
419	2.82896e-09
420	2.82036e-09
421	2.81179e-09
422	2.80325e-09
423	2.79472e-09
424	2.78622e-09
425	2.77773e-09
426	2.76927e-09
427	2.76084e-09
428	2.75242e-09
429	2.74403e-09
430	2.73566e-09
431	2.72731e-09
432	2.71899e-09
433	2.71068e-09
434	2.70241e-09
435	2.69415e-09
436	2.68592e-09
437	2.67771e-09
438	2.66953e-09
439	2.66137e-09
440	2.65324e-09
441	2.64513e-09
442	2.63704e-09
443	2.62898e-09
444	2.62094e-09
445	2.61293e-09
446	2.60494e-09
447	2.59698e-09
448	2.58904e-09
449	2.58113e-09
450	2.57324e-09
451	2.56538e-09
452	2.55754e-09
453	2.54973e-09
454	2.54195e-09
455	2.53419e-09
456	2.52645e-09
457	2.51875e-09
458	2.51107e-09
459	2.50341e-09
460	2.49579e-09
461	2.48819e-09
462	2.48061e-09
463	2.47307e-09
464	2.46555e-09
465	2.45805e-09
466	2.45059e-09
467	2.44315e-09
468	2.43574e-09
469	2.42835e-09
470	2.421e-09
471	2.41367e-09
472	2.40637e-09
473	2.3991e-09
474	2.39185e-09
475	2.38464e-09
476	2.37745e-09
477	2.37029e-09
478	2.36316e-09
479	2.35605e-09
480	2.34898e-09
481	2.34193e-09
482	2.33492e-09
483	2.32793e-09
484	2.32097e-09
485	2.31404e-09
486	2.30714e-09
487	2.30026e-09
488	2.29342e-09
489	2.28661e-09
490	2.27982e-09
491	2.27307e-09
492	2.26634e-09
493	2.25964e-09
494	2.25298e-09
495	2.24634e-09
496	2.23973e-09
497	2.23315e-09
498	2.22661e-09
499	2.22009e-09
500	2.2136e-09
501	2.20714e-09
502	2.20072e-09
503	2.19432e-09
504	2.18795e-09
505	2.18162e-09
506	2.17531e-09
507	2.16903e-09
508	2.16279e-09
509	2.15657e-09
510	2.15039e-09
511	2.14423e-09
512	2.13811e-09
513	2.13202e-09
514	2.12595e-09
515	2.11992e-09
516	2.11392e-09
517	2.10795e-09
518	2.10201e-09
519	2.0961e-09
520	2.09023e-09
521	2.08438e-09
522	2.07856e-09
523	2.07278e-09
524	2.06702e-09
525	2.0613e-09
526	2.05561e-09
527	2.04995e-09
528	2.04432e-09
529	2.03872e-09
530	2.03315e-09
531	2.02762e-09
532	2.02211e-09
533	2.01664e-09
534	2.01119e-09
535	2.00578e-09
536	2.0004e-09
537	1.99505e-09
538	1.98973e-09
539	1.98444e-09
540	1.97919e-09
541	1.97396e-09
542	1.96877e-09
543	1.9636e-09
544	1.95847e-09
545	1.95337e-09
546	1.9483e-09
547	1.94326e-09
548	1.93826e-09
549	1.93328e-09
550	1.92833e-09
551	1.92342e-09
552	1.91854e-09
553	1.91368e-09
554	1.90886e-09
555	1.90407e-09
556	1.89931e-09
557	1.89458e-09
558	1.88989e-09
559	1.88522e-09
560	1.88058e-09
561	1.87598e-09
562	1.8714e-09
563	1.86686e-09
564	1.86235e-09
565	1.85786e-09
566	1.85341e-09
567	1.84899e-09
568	1.8446e-09
569	1.84024e-09
570	1.83591e-09
571	1.83161e-09
572	1.82734e-09
573	1.82311e-09
574	1.8189e-09
575	1.81472e-09
576	1.81057e-09
577	1.80646e-09
578	1.80237e-09
579	1.79831e-09
580	1.79428e-09
581	1.79029e-09
